orgope,mpio_inegi,estado
Sistema de Agua Potable y Alcantarillado de Jala (SIAPA),Jala,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Rosamorada (OROMAPAS),Rosamorada,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Ruíz (OROMAPASR),Ruíz,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Santa María del Oro (OROMAPAS),Santa María del Oro,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Tecuala (OROMAPAS),Tecuala,Nayarit
Sistema Integral de Agua Potable y Alcantarillado de Tepic (SIAPA),Tepic,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Tuxpan (OROAPAS),Tuxpan,Nayarit
Organismo Operador Municipal de Agua Potable Alcantarillado y Saneamiento de Xalisco (OROMAPAS),Xalisco,Nayarit
Servicios de Agua y Drenaje En Monterrey (SADM),Monterrey,Nuevo León
Servicios de Agua Potable y Alcantarillado de Oaxaca (SAPAO),Oaxaca de Juárez,Oaxaca
Sistema de Agua Potable (SAP),Santa María del Tule,Oaxaca
Sistema Operador de Agua Potable y Alcantarillado del Municipio de Atlixco (SOAPAMA),Atlixco,Puebla
Empresa de Servicios de Agua Potable y Alcantarillado de Huauchinango (ESAPAH),Huauchinango,Puebla
Sistema Operador de Agua Potable de Izúcar de Matamoros (SOSAPAMIM),Izúcar de Matamoros,Puebla
Sistema Operador de Agua Potable y Alcantarillado de Puebla (SOAPAP),Puebla,Puebla
Sistema Operador de Los Servicios de Agua Potable y Alcantarillado del Municipio de San Martín Texmelucan (SOSAPATEX),San Martín Texmelucan,Puebla
Sistema Operador de Agua Potable y Alcantarillado de San Pedro Cholula (SOSAPACH),San Pedro Cholula,Puebla
Organismo Operador del Servicio de Agua Potable y Alcantarillado de Tehuacán (OOSAPAT),Tehuacán,Puebla
Sistema Operador de Los Servicios de Agua Potable y Alcantarillado del Municipio de Zacatlán (SOSAPAZ),Zacatlán,Puebla
